artifact_id	artifact_type	manuscript_or_si_label	artifact_title	analysis_step	authoritative_rmd	canonical_source	reconstruction_sources	data_package	github_path	zenodo_path	upstream_dependency	status	notes
MAIN_FIG_1	main_figure	Figure 1	Study map, chemical-use-class composition, and mixture toxic pressure	02	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	Results_02_Chemistry_Transcriptome_Integration/tables/chemistry/holtemme_chemistry_site_metrics.csv	chemical_TU_long.csv; MoA_TU_long.csv; site_chemistry_for_transcriptome_integration.csv; documented Weichert study-map source	DP01	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	DP01/figures/Figure_1	Weichert et al. 2026 chemistry archive, DOI 10.5281/zenodo.22143080	mapped	Panel A preserves modified-from-Weichert provenance; panels B/C use Step 02 chemistry objects.
MAIN_FIG_2	main_figure	Figure 2	Global transcriptome PCA and adjacent-site centroid distances	01	01_Holtemme_Global_Transcriptome_Structure.Rmd	Results_01_Global_Transcriptome_Structure/tables/pca_sample_scores.csv; pca_variance_explained.csv; adjacent_site_centroid_distances.csv	pca_sample_scores.csv; pca_variance_explained.csv; adjacent_site_centroid_distances.csv	DP03	01_Holtemme_Global_Transcriptome_Structure.Rmd	DP03/figures/Figure_2	DP03 transcriptome inputs	mapped	Panel B output retains historical/local Figure2B filename.
MAIN_FIG_3	main_figure	Figure 3	Differential-expression burden and effect-size gradient	03	03_Holtemme_Differential_Expression.Rmd	Results_03_Differential_Expression/tables/contrast_summary.csv	contrast_summary.csv; reference_contrast_pattern_summary.csv; local_contrast_pattern_summary.csv; contrast_priority_table.csv	DP04	03_Holtemme_Differential_Expression.Rmd	DP04/figures/Figure_3	DP04 DESeq2 contrast framework	mapped	Legacy Figure4A/Figure4B outputs map to current Figure 3A/Figure 3B; outputs are not renamed.
MAIN_FIG_4	main_figure	Figure 4	Functional response landscape	06	06_Holtemme_Functional_Synthesis.Rmd	Results_06_Functional_Synthesis/final_paper_figures/figure4_functional_response_landscape	functional_family_reviewed_assignments.tsv; figure4_semantic_feature_inventory.tsv; figure4_family_cell_provenance.tsv; figure4_source_term_family_provenance.tsv; figure4_gene_term_family_provenance.tsv; figure4_contrast_manifest.tsv; semantic_reference_input_audit.tsv; semantic_reference_exclusions.tsv	DP05	06_Holtemme_Functional_Synthesis.Rmd	DP05/figures/Figure_4	EchoGO 0.1.4 commit dcf41371b20cccb2914852dc2c0436ecba62c559	mapped	Minimal reconstruction set uses the three canonical traceback provenance tables plus ontology-specific family/semantic tables. figure4_gene_provenance_summary.tsv is a derived diagnostic QC summary staged under DP05 provenance only.
MAIN_FIG_5	main_figure	Figure 5	Site-associated WGCNA modules	08	08_Holtemme_Site_Associated_Module_Functional_Exploration.Rmd	Results_08_Site_Associated_Module_Functional_Exploration/plots/Figure_WGCNA_site_associated_modules_final	figure_wgcna_final_panel_A_eigengenes.csv; figure_wgcna_final_panel_B_contrasts.csv; figure_wgcna_final_panel_C_composition.csv; figure_wgcna_final_panel_D_functional_families.csv	DP07	08_Holtemme_Site_Associated_Module_Functional_Exploration.Rmd	DP07/figures/Figure_5	DP06 WGCNA selection evidence	mapped	DP06 remains upstream evidence only; no direct DP06 paper-facing artifact.
SUPP_FIG_S1	supplementary_figure	Figure S1	Individual-micropollutant concentration profiles and river-order accumulation	02	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	DP01_chemistry/publication_artifacts/Figure_S1/Supplementary_Figure_S1_final.png	chemical_pca_scores.csv; chemical_pca_loadings.csv; DP01-derived chemistry descriptors; chemical_use_class_panel_source.csv is MoA-derived and is not an S1B chemical-use-class source	DP01	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	DP01_chemistry/publication_artifacts/Figure_S1/Supplementary_Figure_S1_final.png	Weichert et al. 2026, DOI 10.5281/zenodo.22143080	frozen_exact	Exact V9.1 SI raster; graphical-only legend repair; no chemistry recalculation or chemical-use-class reconstruction inside this compendium.
SUPP_FIG_S2	supplementary_figure	Figure S2	MoA occurrence heatmap, site-level MoA PCA, and log10(SigmaTU) profile	02	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	DP01_chemistry/publication_artifacts/Figure_S2/Supplementary_Figure_S2_final.png	moa_heatmap_source.csv; moa_pca_scores.csv; moa_pca_loadings.csv; moa_log10_sumTU_panel_source.csv	DP01	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	DP01_chemistry/publication_artifacts/Figure_S2/Supplementary_Figure_S2_final.png	10.5281/zenodo.22143080	frozen_exact	Exact V9.1 SI composite; deterministic source data are retained, but pixel-equivalence is not claimed for a newly assembled reconstruction.
SUPP_FIG_S3	supplementary_figure	Figure S3	Sample-distance heatmap and complete-linkage hierarchical clustering	01	01_Holtemme_Global_Transcriptome_Structure.Rmd	DP03_global_transcriptome_structure/publication_artifacts/Figure_S3/Supplementary_Figure_S3_final.png	sample_distance_matrix.tsv; 06_sample_distance_heatmap.*; 07_hierarchical_clustering_dendrogram.*	DP03	01_Holtemme_Global_Transcriptome_Structure.Rmd	DP03_global_transcriptome_structure/publication_artifacts/Figure_S3/Supplementary_Figure_S3_final.png	SRP571512	frozen_exact	Exact V9.1 SI composite; assembled from the canonical DP03 heatmap and dendrogram component plots.
SUPP_FIG_S4	supplementary_figure	Figure S4	Chemistry-constrained site-centroid RDA	02	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	Results_02_Chemistry_Transcriptome_Integration/plots/constrained_ordination/rda_site_centroid_vst_log10_STU_ToxC	chemistry_rda_model_comparison.csv; chemistry_rda_site_scores.csv; site_centroid_rda_summary.csv; site_centroid_rda_stu_scores.csv; chemistry_rda_permutation_tests.csv	DP03	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	DP03/figures/Figure_S4	DP03 site-centroid transcriptome; DP01 chemistry predictor	mapped	Permutation tests and response-gene/PC-variance tables are audit/support layers, not required display inputs.
SUPP_FIG_S5	supplementary_figure	Figure S5	Supplementary Figure S5: final 16-gene target-supported candidate-gene heatmap	06	06_Holtemme_Functional_Synthesis.Rmd	Results_06_Functional_Synthesis/final_paper_figures/figure5_functional_family_linked_candidate_gene_heatmap	candidate_gene_display_panel.tsv; candidate_gene_expression_site_mean_vst.tsv; candidate_gene_expression_site_mean_row_scaled_vst.tsv; candidate_gene_selection_audit.tsv; candidate_gene_bp_family_inventory.tsv	DP05	06_Holtemme_Functional_Synthesis.Rmd	DP05/figures/Figure_S5	EchoGO 0.1.4 commit dcf41371b20cccb2914852dc2c0436ecba62c559	mapped	Final 16-gene target-supported candidate-gene heatmap; EchoGO v0.1.4 / DP05. Historical/local figure5 filename stem is retained for Supplementary Figure S5; the main manuscript Figure 5 is the WGCNA figure.
SUPP_TAB_S1	supplementary_table	Table S1	Sampling sites and field context	01/02	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	metadata/station_crosswalk.csv; metadata/holtemme_sample_metadata_publication.csv	station_crosswalk.csv; holtemme_sample_metadata_publication.csv; Step 02 site metadata	DP01	metadata/station_crosswalk.csv; metadata/holtemme_sample_metadata_publication.csv	DP01/tables/Table_S1	Weichert et al. 2026 chemistry context	mapped	SI display/export is assembled from existing metadata; no new analytical table.
SUPP_TAB_S2	supplementary_table	Table S2	Site-level chemistry and mixture-pressure summary	02	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	Results_02_Chemistry_Transcriptome_Integration/tables/chemistry/holtemme_chemistry_site_metrics.csv	chemical_TU_long.csv; MoA_TU_long.csv; site_chemistry_for_transcriptome_integration.csv	DP01	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	DP01/tables/Table_S2	Weichert et al. 2026, DOI 10.5281/zenodo.22143080	mapped	Derived descriptor table is central; primary concentration archive remains external.
SUPP_TAB_S3	supplementary_table	Table S3	Global transcriptome summary	01	01_Holtemme_Global_Transcriptome_Structure.Rmd	Results_01_Global_Transcriptome_Structure/tables/pca_variance_explained.csv; pca_sample_scores.csv	metadata_matched_germany.csv; sample_qc_basic.csv; filtering_summary.csv; adonis_site_effect.csv; betadisper_anova.csv; betadisper_permutation.csv	DP03	01_Holtemme_Global_Transcriptome_Structure.Rmd	DP03/tables/Table_S3	SRA SRP571512	mapped	Existing canonical QC/PCA tables are the SI assembly inputs.
SUPP_TAB_S4	supplementary_table	Table S4	Chemistry-constrained RDA results	02	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	Results_02_Chemistry_Transcriptome_Integration/tables/constrained_ordination/site_centroid_rda_summary.csv	chemistry_rda_model_comparison.csv; chemistry_rda_site_scores.csv; chemistry_rda_permutation_tests.csv; site_centroid_rda_stu_scores.csv	DP03	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	DP03/tables/Table_S4	DP01 chemistry predictor; DP03 transcriptome response	mapped	All five known RDA tables are retained and classified as display or audit inputs.
SUPP_TAB_S5	supplementary_table	Table S5	Differential-expression contrast summary	03	03_Holtemme_Differential_Expression.Rmd	Results_03_Differential_Expression/tables/contrast_summary.csv	reference_contrast_pattern_summary.csv; local_contrast_pattern_summary.csv; contrast_priority_table.csv; reference_deg_recurrence_summary.csv	DP04	03_Holtemme_Differential_Expression.Rmd	DP04/tables/Table_S5	DP04 DESeq2 contrast framework	mapped	Existing contrast summary is authoritative; supporting summaries are not new analyses.
SUPP_TAB_S6	supplementary_table	Table S6	Functional evidence and annotation summary	06	06_Holtemme_Functional_Synthesis.Rmd	Results_06_Functional_Synthesis/tables/figure4_functional_landscape/figure4_family_cell_provenance.tsv	functional_family_reviewed_assignments.tsv; figure4_semantic_feature_inventory.tsv; figure4_family_cell_provenance.tsv; figure4_source_term_family_provenance.tsv; figure4_gene_term_family_provenance.tsv; semantic_reference_input_audit.tsv; semantic_reference_exclusions.tsv; candidate_gene_display_panel.tsv	DP05	06_Holtemme_Functional_Synthesis.Rmd	DP05/tables/Table_S6	EchoGO 0.1.4 commit dcf41371b20cccb2914852dc2c0436ecba62c559	mapped	Existing provenance and annotation summaries are the SI source; no replacement workbook.
SUPP_TAB_S7	supplementary_table	Table S7	WGCNA decision summary	07/08	08_Holtemme_Site_Associated_Module_Functional_Exploration.Rmd	Results_08_Site_Associated_Module_Functional_Exploration/tables/final_wgcna_quality_control_gates.csv	figure_wgcna_final_panel_A_eigengenes.csv; figure_wgcna_final_panel_B_contrasts.csv; figure_wgcna_final_panel_C_composition.csv; figure_wgcna_final_panel_D_functional_families.csv; Results_07_WGCNA_Network_Selection/tables/selected_wgcna_network_manifest.csv; selected_wgcna_module_summary.csv	DP07	08_Holtemme_Site_Associated_Module_Functional_Exploration.Rmd	DP07/tables/Table_S7	DP06 network-selection evidence	mapped	DP07 is the paper-facing module decision package; DP06 remains upstream selection evidence.
